f_subject_id,f_lchapter_id,f_lchapter_nm,f_mchapter_id,f_mchapter_nm,성취기준코드,성취기준 내용,성취수준 A,성취수준 B,성취수준 C,f_schapter_id,f_schapter_nm,f_tchapter_id,f_tchapter_nm,핵심키워드_v2,핵심키워드_v1
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234963,그림의 개수 세어 보기,12236834,개수가 같은 것끼리 잇기,"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234964,그림을 세어 1~5 알아보기,12236835,"1, 2, 3, 4, 5를 쓰고 읽기","수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234964,그림을 세어 1~5 알아보기,12236836,관계있는 것끼리 잇기(1~5까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234964,그림을 세어 1~5 알아보기,12236837,그림을 세어 알맞은 수에 ○표 하기(1~5까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234964,그림을 세어 1~5 알아보기,12236838,그림을 세어 수 쓰기(1~5까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201779,"1, 2, 3, 4, 5 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234965,"1, 2, 3, 4, 5 알아보기",12236841,수만큼 그림 묶기(1~5까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201780,"6, 7, 8, 9 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234966,그림을 세어 6~9 알아보기,12236842,"6, 7, 8, 9를 쓰고 읽기","수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201780,"6, 7, 8, 9 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234966,그림을 세어 6~9 알아보기,12236843,관계있는 것끼리 잇기(6~9까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201780,"6, 7, 8, 9 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234966,그림을 세어 6~9 알아보기,12236844,그림을 세어 알맞은 수에 ○표 하기(6~9까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
2212,17122834,1. 9까지의 수,14201780,"6, 7, 8, 9 알아보기",2수01-01,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",12234966,그림을 세어 6~9 알아보기,12236845,그림을 세어 수 쓰기(6~9까지의 수),"수의 필요성수의 필요성, 0과 100까지, 수 개념, 읽기, 쓰기, 10개씩 묶음, 낱개, 실생활","수의 필요성, 0과 100까지 수, 읽기, 쓰기"
